State,Year,wnhm,bnhm,ainhm,asnhm,pinhm,whm,bhm,aihm,ashm,pihm,wnhf,bnhf,ainhf,asnhf,pinhf,whf,bhf,aihf,ashf,pihf
Michigan,2001,"3,927,893","699,501","54,999","108,882","3,140","165,785","10,871","5,395","1,740",716,"4,055,708","776,896","57,344","108,613","3,127","147,228","11,188","5,148","1,674",599
Michigan,2000,"3,917,709","694,782","55,232","104,100","3,077","158,485","10,600","5,305","1,649",683,"4,049,208","772,041","57,602","103,764","3,061","141,195","10,950","5,104","1,578",572
Minnesota,2005,"2,218,200","126,768","38,386","96,602","3,132","94,781","4,573","3,177","1,169",425,"2,275,270","119,161","39,295","99,030","2,682","79,698","4,319","2,942","1,097",284
Minnesota,2004,"2,209,505","122,561","38,056","93,559","3,061","90,885","4,409","3,120","1,118",417,"2,267,653","115,304","38,883","96,256","2,626","76,369","4,140","2,891","1,051",274
Minnesota,2003,"2,202,999","117,760","37,655","90,264","2,976","86,899","4,227","3,040","1,080",389,"2,261,356","110,942","38,451","92,878","2,566","72,994","3,985","2,862",997,264
Minnesota,2002,"2,194,483","112,946","37,169","86,934","2,908","82,486","4,008","2,983","1,016",364,"2,254,961","106,464","37,990","89,681","2,496","69,162","3,824","2,826",956,257
Minnesota,2001,"2,185,788","108,260","36,862","83,269","2,804","78,184","3,812","2,925",967,361,"2,247,968","102,131","37,731","86,083","2,423","65,393","3,615","2,760",911,244
Minnesota,2000,"2,172,178","103,330","36,578","79,794","2,719","73,326","3,636","2,881",898,331,"2,235,243","97,733","37,371","82,536","2,355","61,204","3,410","2,707",859,232
Missouri,2005,"2,389,992","324,642","27,524","44,600","3,414","76,844","4,076","2,230",974,353,"2,485,094","365,249","28,163","46,812","3,320","67,640","4,216","2,099",899,355
Missouri,2004,"2,375,452","321,088","27,465","42,892","3,345","73,520","3,863","2,147",905,328,"2,474,361","361,695","28,101","45,132","3,260","64,778","3,970","2,055",842,334
Missouri,2003,"2,360,519","317,892","27,324","41,143","3,257","69,776","3,624","2,058",859,302,"2,464,413","358,039","28,059","43,437","3,176","61,860","3,753","2,009",793,323
